Gene ID	Gene Name	Design Element	D20_C	pU62_B	pU62_C	D20_A	D20_B	pU62_A
ENSG00000107957	SH3PXD2A	224817_at	7.9177265	8.578731	8.647574	7.7119727	7.8110447	8.746119
ENSG00000107959	PITRM1	205273_s_at	7.904757	7.1864805	7.3263426	8.040163	7.841135	7.010448
ENSG00000107960	OBFC1	219100_at	6.7617807	6.396566	6.502745	7.1113005	6.8237133	6.4738197
ENSG00000107968	MAP3K8	205027_s_at	4.315647	4.1648664	4.25382	4.418763	3.9277248	3.9426048
ENSG00000107984	DKK1	204602_at	13.222205	12.484237	12.350494	13.264306	13.237432	12.345914
ENSG00000108001	EBF3	227242_s_at	2.9965112	3.086711	3.373791	3.0296023	3.000491	3.1566682
ENSG00000108001	EBF3	227243_s_at	3.4584382	3.1909719	3.3846173	3.4756327	3.765119	3.5012388
ENSG00000108010	GLRX3	207506_at	3.706395	3.8969748	3.92492	3.851458	3.9294424	3.8635225
ENSG00000108010	GLRX3	209080_x_at	10.161738	10.240927	10.177836	10.162915	10.103463	10.184757
ENSG00000108010	GLRX3	214205_x_at	7.635982	7.899325	7.86123	7.682061	7.5708537	7.7987847
ENSG00000108010	GLRX3	230095_at	4.5718203	4.830268	5.0277085	4.63771	4.4817986	4.81978
ENSG00000108018	SORCS1	1556891_at	3.4224153	3.3280218	3.3831434	3.256083	3.507923	3.4712436
ENSG00000108018	SORCS1	228194_s_at	3.2079377	3.3420815	3.59915	3.2811363	3.207716	3.2631104
ENSG00000108021	FAM208B	218331_s_at	8.672989	8.148219	8.5066805	8.425089	8.267728	8.488153
ENSG00000108021	FAM208B	238795_at	6.615304	6.114242	5.6997046	6.3104444	6.0281005	5.9511724
ENSG00000108039	XPNPEP1	208453_s_at	8.1157	8.1641035	8.089221	8.136432	8.36482	7.942213
ENSG00000108039	XPNPEP1	209045_at	9.006938	9.002314	9.226102	9.14326	8.963737	9.116624
ENSG00000108039	XPNPEP1	236239_at	5.181304	5.307516	5.3363805	5.1853085	5.1973925	4.927876
ENSG00000108055	SMC3	209257_s_at	9.003439	8.361391	8.250534	8.910161	8.529319	8.1235695
ENSG00000108055	SMC3	209258_s_at	7.953292	7.31855	7.2106075	8.09493	7.646239	7.0368295
ENSG00000108061	SHOC2	202777_at	7.947552	7.434451	7.6420135	7.941464	7.8739243	7.616456
ENSG00000108064	TFAM	203176_s_at	7.0599346	7.485965	7.3901014	7.10588	7.019225	7.382058
ENSG00000108064	TFAM	203177_x_at	8.019331	8.683505	8.902384	8.221614	7.782912	8.65724
ENSG00000108064	TFAM	208541_x_at	7.3703585	7.48075	7.5422287	7.2414217	7.442585	7.4943275
ENSG00000108064	TFAM	238443_at	5.403873	6.0529156	6.0463357	5.2836833	5.2203946	5.9880576
ENSG00000108064	TFAM	238836_at	4.968074	5.7951913	5.725822	5.349487	5.6558475	5.863989
ENSG00000108091	CCDC6	204716_at	6.4954233	6.40671	6.54986	6.668523	6.320016	6.315914
ENSG00000108091	CCDC6	225010_at	9.12267	8.994355	9.025	9.070204	9.131039	8.980567
ENSG00000108094	CUL2	203078_at	5.4908724	5.5489182	5.640501	5.8288302	5.404225	5.895034
ENSG00000108094	CUL2	203079_s_at	7.424526	7.240091	7.1031547	7.5771537	7.3186183	6.943081
ENSG00000108100	CCNY	224647_at	8.736591	9.085441	9.061677	8.831725	8.872379	9.005745
ENSG00000108100	CCNY	224649_x_at	5.610259	6.3647804	6.459286	6.0424194	5.610259	6.255221
ENSG00000108100	CCNY	224651_at	8.44928	9.152483	9.184257	8.625871	8.334812	9.097236
ENSG00000108100	CCNY	224652_at	6.9536324	7.8609843	7.7975492	7.1092024	7.1879315	7.6864886
ENSG00000108107	RPL28	200003_s_at	13.441288	13.466957	13.412124	13.457448	13.425999	13.434986
ENSG00000108107	RPL28	213223_at	8.29372	7.7728	7.9110904	8.227119	8.245261	7.8820434
ENSG00000108175	ZMIZ1	212124_at	10.701747	10.049938	10.030635	10.762309	10.737677	10.038887
ENSG00000108175	ZMIZ1	233060_at	4.99457	5.1788244	4.6056857	4.6977572	4.6757684	4.8000593
ENSG00000108176	DNAJC12	218976_at	6.841267	8.202774	8.416919	6.7881265	6.444836	8.510557
ENSG00000108176	DNAJC12	223721_s_at	6.3167667	7.736927	7.728346	6.4003506	6.198534	7.728621
ENSG00000108176	DNAJC12	223722_at	5.035665	5.8145294	5.784627	4.464634	4.5912523	5.6130533
ENSG00000108179	PPIF	201489_at	9.652631	9.837133	9.594663	9.786096	9.93542	9.701442
ENSG00000108179	PPIF	201490_s_at	9.2589245	9.246893	9.120575	9.328134	9.35574	9.030769
ENSG00000108187	PBLD	1555175_a_at	4.4079394	3.7057903	3.6941357	3.9305062	4.054854	3.6334567
ENSG00000108187	PBLD	219543_at	6.642577	5.6330314	6.087798	6.665892	6.6652846	5.901232
ENSG00000108219	TSPAN14	221002_s_at	6.565826	6.551233	6.4294553	6.4988127	6.6758137	6.4800973
ENSG00000108219	TSPAN14	223314_at	7.813105	7.9581656	7.8003263	8.088572	7.725618	7.7514877
ENSG00000108231	LGI1	206349_at	3.6731923	3.189827	3.1384895	3.9462829	3.930328	3.1311698
ENSG00000108239	TBC1D12	1557609_s_at	3.4912426	3.0463874	3.3840134	3.4689338	3.3707688	3.3766391
ENSG00000108239	TBC1D12	221858_at	6.6604786	5.643039	5.965771	6.884386	6.617865	5.653065
ENSG00000108242	CYP2C18	208126_s_at	3.6548452	3.5704625	3.7984853	3.6931794	3.8016791	3.9542701
ENSG00000108242	CYP2C18	215103_at	3.3530595	3.6578588	3.4842896	3.7836971	3.4056146	3.5394166
ENSG00000108244	KRT23	218963_s_at	11.293859	10.475916	10.45116	11.271232	11.327755	10.413711
ENSG00000108255	CRYBA1	206982_at	3.3186874	3.4217691	3.3525069	3.3991234	3.5969038	3.5885296
ENSG00000108256	NUFIP2	224938_at	8.852172	8.132961	8.250277	8.622218	8.325999	8.308163
